ticker,nt_currency,exchange_name,nt_country_name,nt_bloomberg_code,nt_bloomberg_id
TRANSURBAN GROUP,AUD,AUSTRALIAN S.E.,AUSTRALIA,TCL AT,BBG000BW7HV7
HELLOFRESH SE,EUR,XETRA FRANKFURT,GERMANY,HFG GY,BBG00B9SRSF7
TRACTOR SUPPLY COMPANY,USD,NASDAQ (NMS NATIONAL MKT SYST),UNITED-STATES (U.S.A.),TSCO UW,BBG000BLY8F9
BRAMBLES LTD,AUD,AUSTRALIAN S.E.,AUSTRALIA,BXB AT,BBG000Q8XHP2
EDP RENOVAVEIS SA,EUR,LISBON,SPAIN,EDPR PL,BBG000PRGX02
MARSH & MCLENNAN COS,USD,N.Y.S.E.,UNITED-STATES (U.S.A.),MMC UN,BBG000BP4P74
GIVAUDAN-REG,CHF,SIX Swiss Exchange,SWITZERLAND,GIVN SE,BBG00HCYH960
MARTIN MARIETTA MATERIALS,USD,N.Y.S.E.,UNITED-STATES (U.S.A.),MLM UN,BBG000BGYPN3
DAYFORCE INC,USD,N.Y.S.E.,UNITED-STATES (U.S.A.),DAY UN,BBG00KG0HRN4
MATSUKIYOCOCOKARA & CO,JPY,TOKYO,JAPAN,3088 JT,BBG000TBPHJ8
XYLEM INC,USD,N.Y.S.E.,UNITED-STATES (U.S.A.),XYL UN,BBG00256TDP9
ELISA OYJ,EUR,HELSINKI,FINLAND,ELISA FH,BBG000F092P1
WALT DISNEY CO/THE,USD,N.Y.S.E.,UNITED-STATES (U.S.A.),DIS UN,BBG000BH4SB1
CRODA INTERNATIONAL PLC,GBP,LSE SETS,GREAT-BRITAIN,CRDA LN,BBG000BDCLS8
DECKERS OUTDOOR CORP,USD,N.Y.S.E.,UNITED-STATES (U.S.A.),DECK UN,BBG000BKY175
TAKE-TWO INTERACTIVE SOFTWRE,USD,NASDAQ (NMS NATIONAL MKT SYST),UNITED-STATES (U.S.A.),TTWO UW,BBG000BS26J9
SUMITOMO MITSUI FINANCIAL GR,JPY,TOKYO,JAPAN,8316 JT,BBG000PJ4F75
CENCORA INC,USD,N.Y.S.E.,UNITED-STATES (U.S.A.),COR UN,BBG000MDCSN6
TRANE TECHNOLOGIES PLC,USD,N.Y.S.E.,UNITED-STATES (U.S.A.),TT UN,BBG000BM6966
KESKO OYJ-B SHS,EUR,HELSINKI,FINLAND,KESKOB FH,BBG000BNP2B2
DASSAULT SYSTEMES SE,EUR,EURONEXT PARIS,FRANCE,DSY FP,BBG000GVXC37
QUEST DIAGNOSTICS INC,USD,N.Y.S.E.,UNITED-STATES (U.S.A.),DGX UN,BBG000BN85Z8
KERING,EUR,EURONEXT PARIS,FRANCE,KER FP,BBG000BCB150
CME GROUP INC,USD,NASDAQ (NMS NATIONAL MKT SYST),UNITED-STATES (U.S.A.),CME UW,BBG000BHMC53
LEG IMMOBILIEN SE,EUR,XETRA FRANKFURT,GERMANY,LEG GY,BBG003T0P9H6
AMPLIFON SPA,EUR,EURONEXT MILAN,ITALY,AMP IM,BBG000FZG9K6
ELIA GROUP SA/NV,EUR,EURONEXT BRUSSELS,BELGIUM,ELI BB,BBG000KR9Z28
DOVER CORP,USD,N.Y.S.E.,UNITED-STATES (U.S.A.),DOV UN,BBG000BHB4Z0
IDEX CORP,USD,N.Y.S.E.,UNITED-STATES (U.S.A.),IEX UN,BBG000C1HPK7
DARLING INGREDIENTS INC,USD,N.Y.S.E.,UNITED-STATES (U.S.A.),DAR UN,BBG000BN91F8
NOMURA RESEARCH INSTITUTE LT,JPY,TOKYO,JAPAN,4307 JT,BBG000KPFN13
CAN APARTMENT PROP REAL ESTA,CAD,TSX Toronto Stock Exchange,CANADA,CAR-U CT,BBG000BGHK26
SEGRO PLC,GBP,LSE SETS,GREAT-BRITAIN,SGRO LN,BBG000BF1HY7
SCHNEIDER ELECTRIC SE,EUR,EURONEXT PARIS,FRANCE,SU FP,BBG000BBWCH2
HANG SENG BANK LTD,HKD,HONG KONG,HONG KONG,11 HK,BBG000BDWBR9
CBRE GROUP INC - A,USD,N.Y.S.E.,UNITED-STATES (U.S.A.),CBRE UN,BBG000C043Q6
HOLOGIC INC,USD,NASDAQ (NMS NATIONAL MKT SYST),UNITED-STATES (U.S.A.),HOLX UW,BBG000C3P591
BANK OF NEW YORK MELLON CORP,USD,N.Y.S.E.,UNITED-STATES (U.S.A.),BK UN,BBG000BD8QV8
JAMES HARDIE INDUSTRIES-CDI,AUD,AUSTRALIAN S.E.,IRELAND,JHX AT,BBG000D01958
GENMAB A/S,DKK,COPENHAGEN,DENMARK,GMAB DC,BBG000BKPC99
EBOS GROUP LTD,NZD,NEW ZEALAND,NEW-ZEALAND,EBO NZ,BBG000BQ6YD4
HCA HEALTHCARE INC,USD,N.Y.S.E.,UNITED-STATES (U.S.A.),HCA UN,BBG000QW7X64
AEON CO LTD,JPY,TOKYO,JAPAN,8267 JT,BBG000BN0FT1
KIKKOMAN CORP,JPY,TOKYO,JAPAN,2801 JT,BBG000BJ8B93
SWISS RE AG,CHF,SIX Swiss Exchange,SWITZERLAND,SREN SE,BBG00HCYV7Y7
TRUIST FINANCIAL CORP,USD,N.Y.S.E.,UNITED-STATES (U.S.A.),TFC UN,BBG000BYYNN9
VONOVIA SE,EUR,XETRA FRANKFURT,GERMANY,VNA GY,BBG004C6MBZ7
INTACT FINANCIAL CORP,CAD,TSX Toronto Stock Exchange,CANADA,IFC CT,BBG000QDQ5G5
ORKLA ASA,NOK,OSLO,NORWAY,ORK NO,BBG000BDCCC5
CAPITALAND ASCENDAS REIT,SGD,SINGAPORE,SINGAPORE,CLAR SP,BBG000PFLWB2
IBIDEN CO LTD,JPY,TOKYO,JAPAN,4062 JT,BBG000BG1XQ9
TOKIO MARINE HOLDINGS INC,JPY,TOKYO,JAPAN,8766 JT,BBG000BBN7R2
ABRDN PLC,GBP,LSE SETS,GREAT-BRITAIN,ABDN LN,BBG000N2C023
ZIMMER BIOMET HOLDINGS INC,USD,N.Y.S.E.,UNITED-STATES (U.S.A.),ZBH UN,BBG000BKPMZ8
HOYA CORP,JPY,TOKYO,JAPAN,7741 JT,BBG000BGSJK7
SECOM CO LTD,JPY,TOKYO,JAPAN,9735 JT,BBG000BNHGG5
HERMES INTERNATIONAL,EUR,EURONEXT PARIS,FRANCE,RMS FP,BBG000BDYY97
NORTHERN STAR RESOURCES LTD,AUD,AUSTRALIAN S.E.,AUSTRALIA,NST AT,BBG000C82PJ0
WORKDAY INC-CLASS A,USD,NASDAQ (NMS NATIONAL MKT SYST),UNITED-STATES (U.S.A.),WDAY UW,BBG003BW0FC3
SUN LIFE FINANCIAL INC,CAD,TSX Toronto Stock Exchange,CANADA,SLF CT,BBG000LS69L5
DEMANT A/S,DKK,COPENHAGEN,DENMARK,DEMANT DC,BBG000J940M0
SOFTBANK CORP,JPY,TOKYO,JAPAN,9434 JT,BBG00MJLX9M4
ACCIONA SA,EUR,SIBE MERCADO CONTINUO,SPAIN,ANA SQ,BBG000BMJFV0
US BANCORP,USD,N.Y.S.E.,UNITED-STATES (U.S.A.),USB UN,BBG000FFFQT4
AVANTOR INC,USD,N.Y.S.E.,UNITED-STATES (U.S.A.),AVTR UN,BBG00N9SDKZ1
SYNCHRONY FINANCIAL,USD,N.Y.S.E.,UNITED-STATES (U.S.A.),SYF UN,BBG00658F3W5
STATE STREET CORP,USD,N.Y.S.E.,UNITED-STATES (U.S.A.),STT UN,BBG000BKFCH1
INFORMA PLC,GBP,LSE SETS,GREAT-BRITAIN,INF LN,BBG000BLHQP7
TELUS CORP,CAD,TSX Toronto Stock Exchange,CANADA,T CT,BBG000BZYZZ6
KONINKLIJKE AHOLD DELHAIZE N,EUR,EURONEXT AMSTERDAM,NETHERLANDS,AD NA,BBG000BBBC58
MERCURY NZ LTD,NZD,NEW ZEALAND,NEW-ZEALAND,MCY NZ,BBG004J7PMT8
OWENS CORNING,USD,N.Y.S.E.,UNITED-STATES (U.S.A.),OC UN,BBG000M44Y70
STEEL DYNAMICS INC,USD,NASDAQ (NMS NATIONAL MKT SYST),UNITED-STATES (U.S.A.),STLD UW,BBG000HH03N1
ZURICH INSURANCE GROUP AG,CHF,SIX Swiss Exchange,SWITZERLAND,ZURN SE,BBG00HCYVMX5
LY CORP,JPY,TOKYO,JAPAN,4689 JT,BBG000BV9F96
ORIENTAL LAND CO LTD,JPY,TOKYO,JAPAN,4661 JT,BBG000HPZ220
ZALANDO SE,EUR,XETRA FRANKFURT,GERMANY,ZAL GY,BBG0072HKSY3
FOX CORP - CLASS B,USD,NASDAQ (NMS NATIONAL MKT SYST),UNITED-STATES (U.S.A.),FOX UW,BBG00JHNKKJ2
UNITED UTILITIES GROUP PLC,GBP,LSE SETS,GREAT-BRITAIN,UU/ LN,BBG000BBFLV5
